city,state_abbrev,city_pop
Fitchburg,MA,42145
Haines City,FL,42073
San Bruno,CA,42035
Danville,VA,41993
Royal Palm Beach village,FL,41948
Oviedo,FL,41901
Coppell,TX,41785
Windsor,CO,41734
Lancaster,OH,41671
Covington,KY,41611
Lynnwood,WA,41597
Crystal Lake,IL,41513
Milton,GA,41490
La Vergne,TN,41430
Cedar Falls,IA,41417
Lake Stevens,WA,41350
American Fork,UT,41298
Friendswood,TX,41291
Brookfield,WI,41268
State College borough,PA,41228
Stanton,CA,41188
Romeoville village,IL,41177
Hobbs,NM,41061
West Fargo,ND,41027
Amherst Town,MA,40989
Florence,SC,40923
Tooele,UT,40919
Cedar City,UT,40885
Kearny,NJ,40866
Lathrop,CA,40860
Cape Girardeau,MO,40818
Lancaster,TX,40780
Peachtree City,GA,40758
Bartlett village,IL,40718
Menomonee Falls village,WI,40700
Rexburg,ID,40695
Annapolis,MD,40689
Fort Lee borough,NJ,40566
Belleville,IL,40560
Douglasville,GA,40540
Myrtle Beach,SC,40535
Aventura,FL,40531
Georgetown,KY,40518
DeKalb,IL,40491
Westfield,MA,40403
Findlay,OH,40343
New Berlin,WI,40302
Bettendorf,IA,40281
Wausau,WI,40262
Chelsea,MA,40245
Valley Stream village,NY,40232
Dover,DE,40191
Maplewood,MN,40142
Prattville,AL,40139
Germantown,TN,40128
San Luis,AZ,40064
Rancho Palos Verdes,CA,40064
Monroe,NC,40054
Lake Oswego,OR,40029
Norwich,CT,39993
La Quinta,CA,39907
Culver City,CA,39883
Urbana,IL,39831
Winter Springs,FL,39822
Parkland,FL,39700
Issaquah,WA,39664
Copperas Cove,TX,39627
Riviera Beach,FL,39620
Spartanburg,SC,39606
Richmond,KY,39581
Hutchinson,KS,39561
Carol Stream village,IL,39556
Hurst,TX,39500
Grants Pass,OR,39468
Kearns metroship,UT,39398
Weatherford,TX,39397
Woodstock,GA,39381
Garner,NC,39345
Sun Prairie,WI,39253
Duncanville,TX,39203
Keizer,OR,39152
Braintree Town,MA,39134
Syracuse,UT,38999
Atlantic City,NJ,38959
Hilliard,OH,38832
Seguin,TX,38789
Quincy,IL,38786
Pine Bluff,AR,38785
Oswego village,IL,38778
Lincoln Park,MI,38774
Lewiston,ME,38772
Rome,GA,38747
Calexico,CA,38744
Roy,UT,38719
Warren,OH,38683
Socorro,TX,38642
Westerville,OH,38612
Erie,CO,38594
Portage,IN,38576
Forney,TX,38572
Phenix City,AL,38509
Park Ridge,IL,38445
Estero village,FL,38443
Oak Creek,WI,38373
Streamwood village,IL,38360
Bartlesville,OK,38355
Wheeling village,IL,38329
Oregon City,OR,38327
Longview,WA,38294
Northglenn,CO,38287
East Point,GA,38270
Hilton Head Island,SC,38158
Vestavia Hills,AL,38151
Cleburne,TX,38131
Pleasant Grove,UT,38127
Benton,AR,38088
Canton,GA,38049
La Porte,TX,38046
Hot Springs,AR,37971
Adelanto,CA,37941
San Gabriel,CA,37926
Holyoke,MA,37838
Cibolo,TX,37816
Leesburg,FL,37815
Plainfield,IN,37796
Monrovia,CA,37787
Tupelo,MS,37775
Kennesaw,GA,37740
Wildomar,CA,37736
New Albany,IN,37652
Montclair,CA,37650
Redmond,OR,37626
Bell Gardens,CA,37565
Clovis,NM,37555
North Ridgeville,OH,37504
Sahuarita,AZ,37448
Leavenworth,KS,37370
Farmers Branch,TX,37341
San Juan,TX,37341
Lauderdale Lakes,FL,37333
Muskegon,MI,37287
Greenfield,WI,37232
Tucker,GA,37224
Carpentersville village,IL,37144
Cookeville,TN,37102
Pacifica,CA,37056
Panama City,FL,37024
Princeton,TX,37019
Martinez,CA,37006
Merrillville,IN,36989
Muskogee,OK,36849
Hanover Park village,IL,36685
La Puente,CA,36670
Beloit,WI,36633
Franklin,WI,36591
Hinesville,GA,36583
Salisbury,NC,36579
Richfield,MN,36491
Fair Lawn borough,NJ,36489
El Mirage,AZ,36468
Rock Island,IL,36434
Fort Mill,SC,36244
Inver Grove Heights,MN,36226
Midvale,UT,36219
Bluffton,SC,36146
Upper Arlington,OH,36140
Claremont,CA,36139
Norristown borough,PA,36075
Mason,OH,36046
Springville,UT,36027
Watertown,MA,35985
Texarkana,TX,35971
Dunedin,FL,35932
Stockbridge,GA,35893
Addison village,IL,35728
Torrington,CT,35673
Roseville,MN,35637
Moorpark,CA,35621
Marion,OH,35576
Richmond,IN,35561
Gahanna,OH,35544
Cooper City,FL,35541
Washington,UT,35501
Butte-Silver Bow,MT,35480
San Juan Capistrano,CA,35469
Wenatchee,WA,35401
Kingman,AZ,35383
Mount Vernon,WA,35344
Harker Heights,TX,35263
McMinnville,OR,35255
Englewood,CO,35238
Statesboro,GA,35226
Brunswick,OH,35166
University Place,WA,35160
Randolph Town,MA,35114
Fairborn,OH,35105
Crown Point,IN,35097
Wildwood,MO,35082
Valparaiso,IN,35065
Holland,MI,35023
Opelika,AL,35005
Temple City,CA,34989
Dalton,GA,34970
Calumet City,IL,34855
Clearfield,UT,34778
Long Beach,NY,34777
Kearney,NE,34741
Helena,MT,34729
Lewiston,ID,34693
Lima,OH,34690
Del Rio,TX,34678
College Park,MD,34667
Goldsboro,NC,34629
Manitowoc,WI,34616
Elizabethtown,KY,34565
Northbrook village,IL,34546
Deer Park,TX,34495
Alabaster,AL,34460
Goshen,IN,34458
Leland,NC,34451
Waukee,IA,34420
Lufkin,TX,34399
West Hollywood,CA,34371
Cornelius,NC,34366
Fitchburg,WI,34357
Greenville,TX,34355
University City,MO,34349
Westlake,OH,34232
New Bern,NC,34218
Pleasant Hill,CA,34169
Woodridge village,IL,34103
Stow,OH,34101
Petersburg,VA,34058
Chester,PA,34052
Oak Ridge,TN,34039
SeaTac,WA,34024
Leawood,KS,34013
Eastpointe,MI,33943
Desert Hot Springs,CA,33917
Dover,NH,33909
Walla Walla,WA,33901
Gillette,WY,33846
Ithaca,NY,33768
Florence,KY,33763
Franklin Town,MA,33742
Spring Valley village,NY,33637
Salisbury,MD,33616
Rochester,NH,33598
LaGrange,GA,33564
Meridian,MS,33549
Pullman,WA,33543
Garfield,NJ,33530
St. Charles,IL,33482
Nicholasville,KY,33458
Manhattan Beach,CA,33453
Eagle,ID,33451
Brownsburg,IN,33430
Andover,MN,33426
Sherwood,AR,33281
Bella Vista,AR,33274
Kaysville,UT,33252
Miami Lakes,FL,33247
San Dimas,CA,33226
Long Branch,NJ,33214
Des Moines,WA,33207
Zionsville,IN,33161
Duluth,GA,33157
New Smyrna Beach,FL,33144
Gadsden,AL,33086
Dania Beach,FL,33076
Menlo Park,CA,33040
Sachse,TX,33008
Morristown,TN,32994
Sanford,NC,32971
Laramie,WY,32957
Los Gatos,CA,32952
Savage,MN,32896
Glendale Heights village,IL,32866
McDonough,GA,32803
Massillon,OH,32750
Aiken,SC,32694
Foster City,CA,32657
Mundelein village,IL,32641
Morrisville,NC,32628
Goleta,CA,32611
Athens,AL,32587
Dana Point,CA,32585
Bangor,ME,32446
Cottonwood Heights,UT,32437
Nacogdoches,TX,32381
Bethel Park municipality,PA,32376
Maryville,TN,32373
Chamblee,GA,32321
Poughkeepsie,NY,32293
Atwater,CA,32248
O'Fallon,IL,32169
West Bend,WI,32149
Naugatuck borough,CT,32116
Shawnee,OK,32092
Bay City,MI,32086
Westfield,NJ,32050
Matthews,NC,32048
Wheat Ridge,CO,31999
Carlsbad,NM,31999
Rome,NY,31990
Anna,TX,31986
Bell,CA,31930
Banning,CA,31929
Lawrenceville,GA,31877
Elk Grove Village village,IL,31802
Santa Paula,CA,31786
Brooklyn Center,MN,31755
Fairbanks,AK,31732
Clayton,NC,31732
Bixby,OK,31728
Statesville,NC,31693
North Olmsted,OH,31690
Houma,LA,31671
Alamogordo,NM,31667
Casselberry,FL,31650
Juneau and borough,AK,31572
El Paso de Robles (Paso Robles),CA,31568
San Pablo,CA,31562
Seaside,CA,31524
Southlake,TX,31500
Northport,AL,31492
Michigan City,IN,31466
Princeton,NJ,31445
Rockledge,FL,31429
Converse,TX,31400
Magna metroship,UT,31381
West Melbourne,FL,31378
Harrison village,NY,31321
Northampton,MA,31315
Kalispell,MT,31296
Pekin,IL,31266
Liberty,MO,31245
North Attleborough Town,MA,31210
Pooler,GA,31171
Ballwin,MO,31036
Beverly Hills,CA,31027
Port Chester village,NY,30957
Anderson,SC,30937
Jackson,MI,30920
North Royalton,OH,30894
Burlingame,CA,30885
Los Altos,CA,30864
Winter Park,FL,30835
Hopkinsville,KY,30800
Highland Park,IL,30794
Rahway,NJ,30763
Daphne,AL,30751
Enterprise,AL,30731
Crestview,FL,30727
Paragould,AR,30680
Fridley,MN,30679
North Chicago,IL,30639
Holladay,UT,30588
Lafayette,CO,30587
Rosemount,MN,30581
Gurnee village,IL,30546
Algonquin village,IL,30539
Newark,DE,30506
Gloucester,MA,30491
Morgantown,WV,30490
Saratoga,CA,30486
Bowling Green,OH,30463
Woodburn,OR,30449
Oakdale,MN,30441
Easton,PA,30432
Laguna Hills,CA,30378
Hazleton,PA,30354
Laurel,MD,30238
Englewood,NJ,30221
Independence,KY,30196
La Verne,CA,30192
Middletown,NY,30188
Chaska,MN,30167
Central,LA,30161
Lawndale,CA,30160
Fredericksburg,VA,29992
North Tonawanda,NY,29981
Melrose,MA,29938
Niles village,IL,29918
Venice,FL,29902
Alvin,TX,29869
Schererville,IN,29780
Mauldin,SC,29746
Atascadero,CA,29743
Conway,SC,29656
Suisun City,CA,29614
Fountain,CO,29457
Russellville,AR,29442
Burton,MI,29420
Hobart,IN,29418
San Carlos,CA,29403
Oak Park,MI,29402
Jeffersontown,KY,29388
Kirkwood,MO,29348
East Palo Alto,CA,29296
Galesburg,IL,29289
Marysville,OH,29276
Raytown,MO,29244
Bridgewater Town,MA,29167
Jacksonville,AR,29129
Kuna,ID,29127
Southgate,MI,29081
West Springfield Town,MA,29028
Monterey,CA,29015
Garfield Heights,OH,29014
Ramsey,MN,28999
Happy Valley,OR,28969
Bergenfield borough,NJ,28921
Texarkana,AR,28897
Glen Ellyn village,IL,28872
Parkersburg,WV,28834
McHenry,IL,28825
Mint Hill,NC,28825
Williston,ND,28821
Eagle Pass,TX,28768
Kernersville,NC,28760
Agawam Town,MA,28749
Saratoga Springs,NY,28741
Lake in the Hills village,IL,28706
Shaker Heights,OH,28689
Madison Heights,MI,28626
Frankfort,KY,28610
Burbank,IL,28606
Sugar Hill,GA,28598
Maple Valley,WA,28553
Palm Springs village,FL,28548
Huntley village,IL,28495
New Lenox village,IL,28480
Pearl,MS,28458
Slidell,LA,28440
Ridgecrest,CA,28373
Port Huron,MI,28342
Carrollton,GA,28306
Marion,IN,28216
Madison,MS,28210
Union City,GA,28195
Fremont,NE,28190
Brawley,CA,28188
Mount Pleasant village,WI,28184
Newburgh,NY,28181
Lake Jackson,TX,28158
Lansing village,IL,28107
Glen Cove,NY,28088
New London,CT,28081
Simpsonville,SC,28078
Foley,AL,28043
Tualatin,OR,28036
Prior Lake,MN,28018
Garden City,KS,27996
Danville,IL,27981
Monroeville municipality,PA,27966
Asheboro,NC,27928
Homewood,AL,27919
Aberdeen,SD,27919
Wilsonville,OR,27895
Marshalltown,IA,27886
Jenks,OK,27869
Lemon Grove,CA,27867
Bristol,TN,27867
Millville,NJ,27838
Tumwater,WA,27826
Winchester,VA,27800
Henderson,KY,27750
Katy,TX,27741
Bridgeton,NJ,27722
Kent,OH,27720
Jamestown,NY,27699
Maryland Heights,MO,27671
Dodge City,KS,27663
Williamsport,PA,27628
Elk River,MN,27606
Thomasville,NC,27605
Allen Park,MI,27604
Temple Terrace,FL,27588
Gladstone,MO,27579
Cabot,AR,27575
Neenah,WI,27502
Green,OH,27476
Fate,TX,27467
Wilmette village,IL,27443
Hamtramck,MI,27424
Wasco,CA,27409
Camas,WA,27313
Balch Springs,TX,27307
Walnut,CA,27250
Lindenhurst village,NY,27160
Newberg,OR,27136
Belmont,CA,27132
Troy,OH,27122
Round Lake Beach village,IL,27091
Sebastian,FL,27087
Trussville,AL,27079
Forest Grove,OR,27076
Yukon,OK,27068
Lemoore,CA,27057
Greenville,MS,27015
Vernon Hills village,IL,27002
Easley,SC,27001
South Portland,ME,26994
Wooster,OH,26982
Moses Lake,WA,26969
Mason City,IA,26948
Shoreview,MN,26939
Lockport,IL,26915
Ossining village,NY,26895
Moscow,ID,26894
Granite City,IL,26854
New Iberia,LA,26849
Oak Forest,IL,26813
Oxford,MS,26801
Paramus borough,NJ,26786
Edwardsville,IL,26715
Paducah,KY,26712
Ridgewood village,NJ,26701
Austin,MN,26690
Sanger,CA,26649
Grandview,MO,26630
Owatonna,MN,26626
Superior,WI,26620
Clinton,MS,26617
Derby,KS,26604
West Linn,OR,26597
Galt,CA,26589
Horn Lake,MS,26574
Twentynine Palms,CA,26563
South Salt Lake,UT,26561
Batavia,IL,26555
Chicago Heights,IL,26533
Hercules,CA,26499
Benicia,CA,26477
Stevens Point,WI,26465
Lebanon,PA,26456
Denison,TX,26446
Plum borough,PA,26420
Garden City,MI,26410
El Cerrito,CA,26409
North Augusta,SC,26395
Royse City,TX,26387
Staunton,VA,26361
Lodi borough,NJ,26358
Nixa,MO,26352
Soledad,CA,26345
Avon Lake,OH,26342
Fairfax,VA,26340
Centerville,OH,26311
Greenfield,IN,26268
Elmira,NY,26255
Melissa,TX,26194
Cliffside Park borough,NJ,26183
Winona,MN,26173
Tarpon Springs,FL,26168
Farmington,UT,26163
Norfolk,NE,26162
Franklin,IN,26158
Reedley,CA,26138
Saginaw,TX,26116
Xenia,OH,26067
Wheeling,WV,26060
Auburn Hills,MI,26047
Fairhope,AL,26044
Colleyville,TX,26012
Carteret borough,NJ,26003
Yorkville,IL,25986
Auburn,NY,25963
Raymore,MO,25962
Walker,MI,25921
Salem,VA,25908
Woodstock,IL,25892
Brandon,MS,25870
Belton,MO,25861
Windsor,CA,25846
Starkville,MS,25844
Gardner,KS,25836
Dinuba,CA,25833
Pickerington,OH,25814
Shelbyville,TN,25792
East Chicago,IN,25768
Muskego,WI,25759
Peekskill,NY,25757
Medina,OH,25757
Chanhassen,MN,25746
Centerton,AR,25745
Rockville Centre village,NY,25718
Dickinson,ND,25695
Middletown,DE,25686
South Pasadena,CA,25656
Ottumwa,IA,25648
Belton,TX,25635
Riverbank,CA,25625
Corsicana,TX,25591
Avon,OH,25573
Imperial Beach,CA,25568
Fernley,NV,25508
Patterson,CA,25495
West Chicago,IL,25469
De Pere,WI,25453
Eureka,CA,25412
Palmetto Bay village,FL,25402
Norco,CA,25400
Pelham,AL,25396
Lafayette,CA,25371
Lexington,SC,25354
Mequon,WI,25329
Belvidere,IL,25325
Perrysburg,OH,25313
Mercer Island,WA,25302
University Park,TX,25268
Papillion,NE,25248
Farragut,TN,25242
Key West,FL,25240
Caledonia village,WI,25240
Auburn,ME,25200
Mountlake Terrace,WA,25198
Loma Linda,CA,25197
Herndon,VA,25180
Hastings,NE,25152
Kerrville,TX,25141
Columbus,NE,25126
Inkster,MI,25108
Cartersville,GA,25082
Bessemer,AL,25079
Norton Shores,MI,25070
Eustis,FL,25067
Ardmore,OK,25064
South Plainfield borough,NJ,25062
Paris,TX,25037
Johnston,IA,25022
Faribault,MN,24983
Alton,IL,24967
Hazelwood,MO,24951
South Elgin village,IL,24921
Zanesville,OH,24916
Barstow,CA,24897
Florence,AZ,24891
Fort Dodge,IA,24886
Kingsville,TX,24884
Homer Glen village,IL,24852
Greenbelt,MD,24843
Athens,OH,24824
Horizon City,TX,24802
Perry,GA,24792
Mandan,ND,24788
Wadsworth,OH,24753
Ennis,TX,24753
Hurricane,UT,24753
Avon,IN,24735
San Benito,TX,24712
Payson,UT,24666
Romulus,MI,24652
Barberton,OH,24624
Bainbridge Island,WA,24618
West Haven,UT,24617
Groveland,FL,24602
Zion,IL,24583
Ridgeland,MS,24576
Brookings,SD,24555
Benbrook,TX,24542
Selma,CA,24505
Decatur,GA,24482
Newport,RI,24482
Riverside,OH,24472
Morton Grove village,IL,24467
Farmington,MN,24464
Corinth,TX,24450
Seal Beach,CA,24421
Van Buren,AR,24396
Emporia,KS,24354
Edgewater,FL,24334
Glassboro borough,NJ,24322
Westmont village,IL,24308
Marshall,TX,24263
St. John,IN,24250
Ponca City,OK,24234
Wyandotte,MI,24214
Willoughby,OH,24208
Sandusky,OH,24174
Kenmore,WA,24166
Oak Harbor,WA,24163
Clinton,IA,24118
Watertown,NY,24038
Melrose Park village,IL,23999
Searcy,AR,23997
Griffin,GA,23994
Mustang,OK,23965
Coralville,IA,23959
Otsego,MN,23875
Solon,OH,23875
Maywood,CA,23838
Roseburg,OR,23795
Collinsville,IL,23766
Kingston,NY,23748
Rolling Meadows,IL,23732
Clinton,UT,23728
Elmwood Park village,IL,23698
Fountain Hills,AZ,23696
Burlington,IA,23637
Loves Park,IL,23636
Munster,IN,23634
Jacksonville Beach,FL,23630
Mesquite,NV,23599
North Salt Lake,UT,23593
Pottstown borough,PA,23553
Lisle village,IL,23548
West Memphis,AR,23538
Kankakee,IL,23535
Webster Groves,MO,23525
Waynesboro,VA,23498
Highland,IN,23497
Duarte,CA,23493
Watertown,SD,23492
San Fernando,CA,23488
White Bear Lake,MN,23479
DeBary,FL,23468
Hammond,LA,23426
Albertville,AL,23392
Maywood village,IL,23364
Hialeah Gardens,FL,23328
Millbrae,CA,23321
Muscatine,IA,23298
Sapulpa,OK,23297
Ozark,MO,23248
Oakdale,CA,23209
Waxhaw,NC,23178
Duncan,OK,23174
Freeport,IL,23140
Watauga,TX,23120
Summit,NJ,23102
Maple Heights,OH,23081
Hudson,OH,23073
Trotwood,OH,23073
North Plainfield borough,NJ,23072
Roselle borough,NJ,23064
Suwanee,GA,23062
Marina,CA,23047
Champlin,MN,23045
Chambersburg borough,PA,23041
Keene,NH,23036
Central Falls,RI,23034
Garden City village,NY,22993
Terrell,TX,22977
Hopewell,VA,22970
Rock Springs,WY,22967
Battle Ground,WA,22959
Portsmouth,NH,22938
Prairie Village,KS,22919
North Ogden,UT,22908
Alton,TX,22907
Sunny Isles Beach,FL,22903
Roselle village,IL,22871
Machesney Park village,IL,22839
Columbus,MS,22820
Shelby,NC,22778
Lino Lakes,MN,22774
West Chester borough,PA,22758
Shafter,CA,22754
Boerne,TX,22712
Secaucus,NJ,22710
Radcliff,KY,22706
Greenwood,SC,22667
Christiansburg,VA,22632
Corcoran,CA,22627
Acworth,GA,22624
Bloomingdale village,IL,22622
Watertown,WI,22617
Altoona,IA,22598
Oxford,OH,22585
Middleton,WI,22566
Laguna Beach,CA,22564
North Platte,NE,22549
Big Spring,TX,22541
Seymour,IN,22524
Carlisle borough,PA,22517
Hastings,MN,22502
Sanford,ME,22497
Clemmons village,NC,22471
La Porte,IN,22444
Evans,CO,22394
New Brighton,MN,22374
Biddeford,ME,22370
Columbia Heights,MN,22358
Snellville,GA,22336
Ruston,LA,22330
Sedalia,MO,22310
Zephyrhills,FL,22304
Bryant,AR,22271
Calabasas,CA,22256
Carbondale,IL,22223
Helena,AL,22200
Birmingham,MI,22198
Harrison,NJ,22182
Klamath Falls,OR,22174
Stephenville,TX,22147
Bonney Lake,WA,22145
Imperial,CA,22102
Oxford,AL,22088
Bartow,FL,22084
Crystal,MN,22082
Junction City,KS,22053
Clarksville,IN,22041
East Peoria,IL,22024
Villa Park village,IL,22020
Darien,IL,22015
Tavares,FL,22007
Lebanon,OH,21995
Hanahan,SC,21983
East Ridge,TN,21970
Howard village,WI,21961
Arlington,WA,21959
Montgomery village,IL,21957
Lynn Haven,FL,21954
Dickinson,TX,21941
West St. Paul,MN,21920
Lindenwold borough,NJ,21919
North Liberty,IA,21904
Willmar,MN,21892
Yucca Valley,CA,21858
Marquette,MI,21845
Knightdale,NC,21829
Blue Island,IL,21805
Pleasant Prairie village,WI,21802
Chillicothe,OH,21769
American Canyon,CA,21742
South Burlington,VT,21713
Mountain Brook,AL,21701
Cudahy,CA,21694
St. Michael,MN,21681
Elmwood Park borough,NJ,21680
Montrose,CO,21646
Tukwila,WA,21636
Milwaukie,OR,21620
Covington,WA,21567
Alliance,OH,21523
Manor,TX,21500
Pascagoula,MS,21476
Rocky River,OH,21468
Culpeper,VA,21464
Republic,MO,21392
Westbrook,ME,21386
Gardner,MA,21381
South Euclid,OH,21363
New Castle,PA,21332
Port Hueneme,CA,21325
Sweetwater,FL,21321
Northfield,MN,21316
Mineola village,NY,21305
Mukilteo,WA,21299
Del City,OK,21272
Golden Valley,MN,21263
Grayslake village,IL,21262
South Lake Tahoe,CA,21225
Hays,KS,21213
Fort Walton Beach,FL,21188
Geneva,IL,21168
Frankfort village,IL,21160
Highland,UT,21146
Anniston,AL,21127
Murphy,TX,21109
Mount Pleasant,MI,21090
Carrboro,NC,21079
Ashland,KY,21066
Saco,ME,21064
Hyattsville,MD,21052
Greenfield,CA,21042
Arnold,MO,21036
Tullahoma,TN,21035
Germantown village,WI,21032
Park Forest village,IL,21016
Ellensburg,WA,20996
East Moline,IL,20995
Mill Creek,WA,20993
Angleton,TX,20979
Piqua,OH,20940
Ashland,OR,20935
Pleasantville,NJ,20924
Durant,OK,20908
Shelbyville,IN,20845
Elko,NV,20822
Louisville,CO,20811
North Myrtle Beach,SC,20798
Kingsland,GA,20789
South Holland village,IL,20775
New Hope,MN,20745
Morristown,NJ,20732
Murrysville municipality,PA,20729
Portland,TX,20725
Baldwin borough,PA,20712
Forest Lake,MN,20700
Dolton village,IL,20697
Alamo,TX,20694
Lynbrook village,NY,20684
Westminster,MD,20662
Rolla,MO,20660
Painesville,OH,20660
Auburndale,FL,20659
Mebane,NC,20654
Libertyville village,IL,20643
Johnstown,CO,20639
Winder,GA,20628
Claremore,OK,20602
South St. Paul,MN,20590
Sulphur,LA,20572
Pittsburg,KS,20547
Parma Heights,OH,20524
Palisades Park borough,NJ,20520
Crowley,TX,20483
Sherwood,OR,20441
Bethany,OK,20421
Fayetteville,GA,20419
Punta Gorda,FL,20416
Lockport,NY,20394
Sidney,OH,20392
Zachary,LA,20370
Gallup,NM,20339
Harrisburg,NC,20335
Sand Springs,OK,20330
Brigham City,UT,20319
Dixon,CA,20296
Phoenixville borough,PA,20286
Universal City,TX,20267
Adrian,MI,20259
Miamisburg,OH,20253
Cullman,AL,20239
South Milwaukee,WI,20233
Crest Hill,IL,20223
La Marque,TX,20194
Monroe,MI,20177
Erlanger,KY,20172
Naples,FL,20168
Golden,CO,20151
Ypsilanti,MI,20150
Holly Springs,GA,20133
Seagoville,TX,20124
St. Marys,GA,20119
Port Angeles,WA,20112
Conyers,GA,20111
Villa Rica,GA,20095
Ammon,ID,20095
Boone,NC,20080
Siloam Springs,AR,20075
El Reno,OK,20041
Forest Park,OH,20033
Vicksburg,MS,20032
Hawthorne borough,NJ,20006
Oconomowoc,WI,20002
Whitehall,OH,19940
Monroe,WA,19927
Mayfield Heights,OH,19886
Lomita,CA,19841
Mamaroneck village,NY,19783
Harvey,IL,19781
Oroville,CA,19712
La Cañada Flintridge,CA,19621
Albany,CA,19439
Agoura Hills,CA,19429
Plainview,TX,19429
Coronado,CA,18031
